VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract,Vehicle Age,Vehicle Category
5UX43EU02R,Yakima,Selah,WA,98942,2024,Bmw,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39.0,15.0,287952899,POINT (-120.53145 46.65405),PACIFICORP,53077003400,2,PHEV
5YJYGDEF3L,Snohomish,Monroe,WA,98272,2020,Tesla,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,39.0,110852444,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203,6,BEV
1C4RJXP66R,Kitsap,Bremerton,WA,98311,2024,Jeep,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,23.0,271043699,POINT (-122.61158 47.62691),PUGET SOUND ENERGY INC,53035091900,2,PHEV
KNDCE3LGXL,Thurston,Olympia,WA,98502,2020,Kia,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239.0,22.0,156724256,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520,6,BEV
WBY1Z2C56E,King,Seattle,WA,98133,2014,Bmw,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81.0,46.0,224026099,POINT (-122.33364 47.73709),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000602,12,BEV
5YJSA1E49G,King,Renton,WA,98059,2016,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,11.0,174494631,POINT (-122.11589 47.50243),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025602,10,BEV
KNDCC3LG7L,Kitsap,Poulsbo,WA,98370,2020,Kia,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239.0,23.0,237667769,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100,6,BEV
1N4AZ0CP6F,King,Seattle,WA,98168,2015,Nissan,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,33.0,252956882,POINT (-122.29411 47.48924),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027300,11,BEV
JTDKARFP5J,Yakima,Yakima,WA,98908,2018,Toyota,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,14.0,106419694,POINT (-120.60272 46.59656),PACIFICORP,53077000401,8,PHEV
7JRH60FW2P,Thurston,Yelm,WA,98597,2023,Volvo,S60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,41.0,2.0,275696725,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532,3,PHEV
5YJ3E1EB0J,Thurston,Olympia,WA,98512,2018,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,35.0,104823078,POINT (-123.04078 46.94792),PUGET SOUND ENERGY INC,53067012730,8,BEV
1N4CZ1CVXP,Kitsap,Bremerton,WA,98337,2023,Nissan,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,26.0,276884898,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035081200,3,BEV
1N4AZ0CP1E,Kitsap,Poulsbo,WA,98370,2014,Nissan,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,23.0,258176922,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100,12,BEV
3FMTK3SU3M,Yakima,Yakima,WA,98901,2021,Ford,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,15.0,148673591,POINT (-120.50729 46.60464),PACIFICORP,53077001602,5,BEV
5YJ3E1EA7L,King,Seattle,WA,98121,2020,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,36.0,112227356,POINT (-122.34468 47.61578),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008002,6,BEV
1N4BZ1CP2K,Kitsap,Port Orchard,WA,98366,2019,Nissan,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150.0,26.0,263238923,POINT (-122.63848 47.5414),PUGET SOUND ENERGY INC,53035092300,7,BEV
5YJSA1E28H,Snohomish,Edmonds,WA,98026,2017,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,21.0,204828767,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061042004,9,BEV
5YJ3E1EA3P,Yakima,Yakima,WA,98908,2023,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,14.0,240557803,POINT (-120.60272 46.59656),PACIFICORP,53077002801,3,BEV
5YJYGDEF1L,Snohomish,Bothell,WA,98012,2020,Tesla,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,1.0,122587244,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052107,6,BEV
5YJSA1E28J,Snohomish,Bothell,WA,98012,2018,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249.0,1.0,282223252,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052107,8,BEV
1N4AZ1CP3K,Kitsap,Poulsbo,WA,98370,2019,Nissan,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150.0,23.0,204955873,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100,7,BEV
1C4RJXN61R,Kitsap,Port Orchard,WA,98367,2024,Jeep,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,26.0,253288598,POINT (-122.68516 47.50645),PUGET SOUND ENERGY INC,53035092902,2,PHEV
1N4BZ0CP6H,Kitsap,Bremerton,WA,98312,2017,Nissan,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107.0,26.0,247375390,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035081200,9,BEV
1G1RC6S54G,Thurston,Lacey,WA,98503,2016,Chevrolet,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,22.0,316277377,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011300,10,PHEV
WBY1Z2C50F,King,Seattle,WA,98144,2015,Bmw,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81.0,37.0,9067439,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009400,11,BEV
5YJSA1AC6D,Thurston,Tumwater,WA,98512,2013,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,22.0,159884609,POINT (-123.04078 46.94792),PUGET SOUND ENERGY INC,53067010910,13,BEV
1G1RB6S51J,Kitsap,Silverdale,WA,98383,2018,Chevrolet,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,23.0,147086908,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091302,8,PHEV
3C3CFFGE3D,Kitsap,Olalla,WA,98359,2013,Fiat,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87.0,26.0,245311951,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,53035092802,13,BEV
1N4AZ0CP0D,Snohomish,Stanwood,WA,98292,2013,Nissan,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,38.0,164927556,POINT (-122.37265 48.24159),PUGET SOUND ENERGY INC,53061940002,13,BEV
5YJ3E1EA0J,Yakima,Selah,WA,98942,2018,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,13.0,161154073,POINT (-120.53145 46.65405),PACIFICORP,53077003100,8,BEV
5YJ3E1EA9L,Snohomish,Bothell,WA,98012,2020,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,1.0,204782021,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052009,6,BEV
WBA8E1C59J,Kitsap,Poulsbo,WA,98370,2018,Bmw,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14.0,23.0,219734462,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090201,8,PHEV
